date,ice_fraction
20150117,0.962303234
20150202,0.982994558
20150306,0.999316759
20150322,0.995159346
20150930,0.004047469
20151101,0.062298515
20151117,0.568996056
20151203,0.942938818
20151219,0.964763111
20160104,0.87552802
20160205,0.958413292
20160221,0.985666547
20160324,0.986459178
20160409,0.978779131
20160425,0.910460811
20161018,0
20161103,0.027829863
20161119,0.527777778
20161205,0.724431818
20161221,0.905655733
20170106,0.983315893
20170122,0.922752839
20170207,0.997474935
20170223,1
20170327,0.993922352
20170412,0.960543958
20171106,0
20171122,0.239574546
20171208,0.90487239
20180109,1
20180125,0.993206027
20180314,1
20181024,0
20181109,0.935858168
20181125,0.984210463
20181211,0.943245048
20181227,0.997296129
20190112,1
20190213,1
20190301,1
20191011,0
20191027,0.003069225
20191112,0
20200115,0.976134376
20200131,0.965367827
20200216,0.931308103
20200303,0.998947688
20201029,0.016261357
20201114,0.223025174
20201130,0.027853632
20201216,0.860668774
20210101,0.913327855
20210117,0.943505743
20210202,0.994995174
20210218,0.996371861
20210322,0.997177423
20210407,0.997143784
20210423,0.998543439
20211016,0.005513454
20211101,0.021321533
20211117,0
20211219,0.888993378
20220104,0.99474606
20220221,1
20220309,1
20220426,0
20221003,0
20221104,0
20221120,0.009603893
20221206,0.516377924
20221222,0.401582734
20230107,0.938427659
20230123,0.984375495
20230208,0.994901675
20230224,0.969760626
20230312,0.99996836
20230328,1
20230413,0.999203195
20231022,0
20231107,0.088559246
20231123,0.808427037
20231209,0.999605084
20231225,0.933040956
20240110,0.932760682
20240211,0.990674786
20240314,1
20240415,0.999959856
20240501,0.809113494
20241008,0.039886446
20241024,0.023161308
20241125,0.076351512
20241211,0.343966107
20241227,0.342408875
