date,ice_fraction
20190112,1
20190213,1
20190301,1
20190317,1
20191011,0
20191027,0
20191112,0
20191230,1
20200115,1
20200131,1
20200216,1
20200303,1
20200404,1
20201029,0.093672578
20201114,0.262541388
20201130,0.491814089
20201216,1
20210101,0.835157719
20210117,0.990141916
20210202,1
20210322,1
20210407,1
20210423,1
20211016,0
20211101,0.954762941
20211117,0.869620826
20211219,0.999948485
20220104,1
20220221,1
20220309,1
20220426,0.241409241
20221003,0.005436681
20221019,0.040085245
20221104,0.007976949
20221120,0.171940446
20221206,0.338830339
20221222,0.848384456
20230107,1
20230123,1
20230208,1
20230224,1
20230312,1
20230328,1
20230413,0.999203235
20231022,0.009358535
20231107,0.026782126
20231123,0.064157261
20231209,1
20231225,0.999927024
20240110,1
20240211,1
20240314,1
20240415,0.961024447
20241008,8.49E-04
20241024,0.037398907
20241125,0.036118243
20241211,0.536695471
20241227,1
