date,ice_fraction
20150117,0.997379724
20150202,1
20150306,1
20150322,1
20150930,0
20151101,0.568029359
20151117,0.040875571
20151203,0.890827817
20151219,0.768539291
20160104,0.996893528
20160205,0.800459852
20160221,0.473318197
20160324,1
20160409,0.338267594
20160425,0.60435578
20161119,0.024942534
20161205,0.563220559
20161221,0.628857392
20170106,1
20170122,1
20170207,1
20170223,0.992502793
20170327,1
20170412,0.989450987
20171122,0.094860369
20171208,0
20180109,1
20180125,1
20180314,0.99970525
20181024,0.031351997
20181109,0.070413186
20181125,0.061579099
20181211,0.985992306
20181227,0.981168458
20190112,1
20190301,1
20190317,1
20191027,0
20191112,9.59E-04
20191128,0.4
20191230,0.997607493
20200115,0.998823963
20200131,1
20200216,1
20200303,1
20200404,1
20201029,0.045886223
20201114,0.001783569
20201130,0.027946316
20201216,0.809694846
20210101,0.779759023
20210117,0.81374749
20210202,1
20210218,1
20210322,1
20210407,1
20210423,1
20211016,0
20211101,0.043400841
20211117,0.080403427
20211219,0.942593426
20220104,1
20220221,1
20220309,0.97764681
20220426,0.315100446
20221003,0.081042428
20221104,0
20221120,0.074492099
20221206,0.428801456
20221222,0.927600548
20230107,0.989384819
20230123,0.968213594
20230208,0.997970884
20230224,0.931476859
20230312,1
20230328,1
20230413,1
20231022,0
20231107,0
20231123,0.178010471
20231209,0.998632781
20231225,1
20240110,0.996020863
20240211,0.991850343
20240314,0.998396567
20240415,0.975709027
20240501,0.894140596
20241008,0.977518137
20241024,0.146810079
20241125,0.125770473
20241211,0.05850938
20241227,0.818953956
