Model_Type,Band,Window_Size,Degree,Equation,R_squared,P_value,AIC
Polynomial (MA),RED,89,3,y = 4.5412 + -54.4701x^1 + 205.0756x^2 + -225.7939x^3,0.7818961102049033,3.312655736813258e-17,-2.5438872275097424
Polynomial (MA),RED,95,3,y = 5.9065 + -68.2791x^1 + 250.1858x^2 + -273.4925x^3,0.7801417160027858,4.0754569473968313e-17,-2.0952338656185816
Polynomial (MA),RED,93,3,y = 5.3960 + -63.1595x^1 + 233.6191x^2 + -256.1364x^3,0.7800014851224966,4.1432285690258744e-17,-2.0595271102275206
Polynomial (MA),RED,91,3,y = 4.9888 + -58.9524x^1 + 219.5547x^2 + -240.9269x^3,0.7799583002027013,4.164316468432187e-17,-2.048535589745285
Polynomial (MA),RED,87,3,y = 3.9187 + -48.2268x^1 + 184.9539x^2 + -204.8591x^3,0.7794736431095529,4.408170393730284e-17,-1.9253273464213976
Polynomial (MA),RED,97,3,y = 6.4598 + -73.8180x^1 + 268.1179x^2 + -292.3355x^3,0.7794062471556908,4.4431485944487846e-17,-1.9082155740838687
Polynomial (MA),RED,94,3,y = 5.6176 + -65.4202x^1 + 241.1347x^2 + -264.2496x^3,0.7790098099794767,4.654360008815426e-17,-1.8076662303359115
Polynomial (MA),RED,90,3,y = 4.8711 + -57.6809x^1 + 215.1661x^2 + -236.0951x^3,0.7787359545353683,4.8058629405619536e-17,-1.7383128783509676
Polynomial (MA),RED,96,3,y = 6.1468 + -70.6890x^1 + 258.0613x^2 + -281.8638x^3,0.7783329404498442,5.037468539901666e-17,-1.6364063075009483
Polynomial (MA),RED,92,3,y = 5.2365 + -61.4607x^1 + 227.8318x^2 + -249.8223x^3,0.7782469248175856,5.08827101091657e-17,-1.6146802960296327
Polynomial (MA),RED,99,3,y = 6.9496 + -78.7859x^1 + 284.4449x^2 + -309.7592x^3,0.7781916907239139,5.121152543146537e-17,-1.6007335938595304
Polynomial (MA),RED,85,3,y = 3.5347 + -44.3892x^1 + 172.6032x^2 + -191.9859x^3,0.7780540582320754,5.203977695744035e-17,-1.5659962599772541
Polynomial (MA),RED,88,3,y = 4.3830 + -52.7641x^1 + 199.2353x^2 + -219.4206x^3,0.778045913562809,5.2089191687016317e-17,-1.5639412861093263
Polynomial (MA),RED,98,3,y = 6.6989 + -76.2238x^1 + 275.9917x^2 + -300.7157x^3,0.7774085289443786,5.609933775334555e-17,-1.4033567858729157
Polynomial (MA),RED,86,3,y = 3.8428 + -47.3995x^1 + 182.1161x^2 + -201.7571x^3,0.7762168602046299,6.440657215136797e-17,-1.1043540812263757
Polynomial (MA),RED,83,3,y = 3.3933 + -42.8484x^1 + 167.2892x^2 + -186.1668x^3,0.7761010142750607,6.527443828719955e-17,-1.0753720342298436
Polynomial (MA),RED,79,3,y = 2.4270 + -33.0442x^1 + 135.3125x^2 + -152.5512x^3,0.7746907899151744,7.678282311644512e-17,-0.72376302828863
Polynomial (MA),RED,81,3,y = 2.9000 + -37.8543x^1 + 150.9795x^2 + -168.9720x^3,0.7746189190441142,7.741875862218502e-17,-0.7059025644912253
Polynomial (MA),RED,84,3,y = 3.6040 + -44.9941x^1 + 174.3555x^2 + -193.6999x^3,0.7746007035295894,7.758073734529398e-17,-0.7013767738178842
Polynomial (MA),RED,82,3,y = 3.2452 + -41.1971x^1 + 161.3819x^2 + -179.4564x^3,0.7719225164677344,1.0529640488547357e-16,-0.039908642064460764
