Model_Type,Band,Window_Size,Degree,Equation,R_squared,P_value,AIC
Polynomial (SG),NIR,63,3,y = 1.5501 + -20.8470x^1 + 86.2734x^2 + -93.5295x^3,0.907950996,1.17E-16,-31.45601264
Polynomial (SG),NIR,62,3,y = 1.5501 + -20.8470x^1 + 86.2734x^2 + -93.5295x^3,0.907950996,1.17E-16,-31.45601264
Polynomial (SG),NIR,60,3,y = 1.4819 + -20.0944x^1 + 83.6817x^2 + -90.7596x^3,0.906243722,1.57E-16,-30.7944213
Polynomial (SG),NIR,61,3,y = 1.4819 + -20.0944x^1 + 83.6817x^2 + -90.7596x^3,0.906243722,1.57E-16,-30.7944213
Polynomial (SG),NIR,58,3,y = 1.4668 + -19.8859x^1 + 82.8520x^2 + -89.8040x^3,0.9058479,1.68E-16,-30.64275543
Polynomial (SG),NIR,59,3,y = 1.4668 + -19.8859x^1 + 82.8520x^2 + -89.8040x^3,0.9058479,1.68E-16,-30.64275543
Polynomial (SG),NIR,49,3,y = 1.3894 + -18.8855x^1 + 78.7876x^2 + -84.7523x^3,0.905577968,1.76E-16,-30.5396919
Polynomial (SG),NIR,48,3,y = 1.3894 + -18.8855x^1 + 78.7876x^2 + -84.7523x^3,0.905577968,1.76E-16,-30.5396919
Polynomial (SG),NIR,43,3,y = 1.3286 + -18.0560x^1 + 75.3261x^2 + -80.4969x^3,0.904533877,2.10E-16,-30.14379936
Polynomial (SG),NIR,42,3,y = 1.3286 + -18.0560x^1 + 75.3261x^2 + -80.4969x^3,0.904533877,2.10E-16,-30.14379936
Polynomial (SG),NIR,50,3,y = 1.4123 + -19.2005x^1 + 80.0305x^2 + -86.2130x^3,0.904184635,2.22E-16,-30.0123416
Polynomial (SG),NIR,51,3,y = 1.4123 + -19.2005x^1 + 80.0305x^2 + -86.2130x^3,0.904184635,2.22E-16,-30.0123416
Polynomial (SG),NIR,47,3,y = 1.3720 + -18.6544x^1 + 77.7421x^2 + -83.3384x^3,0.904092331,2.26E-16,-29.97767769
Polynomial (SG),NIR,46,3,y = 1.3720 + -18.6544x^1 + 77.7421x^2 + -83.3384x^3,0.904092331,2.26E-16,-29.97767769
Polynomial (SG),NIR,65,3,y = 1.6184 + -21.6296x^1 + 89.0170x^2 + -96.5114x^3,0.903577751,2.46E-16,-29.78504078
Polynomial (SG),NIR,64,3,y = 1.6184 + -21.6296x^1 + 89.0170x^2 + -96.5114x^3,0.903577751,2.46E-16,-29.78504078
Polynomial (SG),NIR,40,3,y = 1.3031 + -17.7473x^1 + 74.2394x^2 + -79.3730x^3,0.903252455,2.59E-16,-29.66379342
Polynomial (SG),NIR,41,3,y = 1.3031 + -17.7473x^1 + 74.2394x^2 + -79.3730x^3,0.903252455,2.59E-16,-29.66379342
Polynomial (SG),NIR,52,3,y = 1.4623 + -19.6581x^1 + 81.1134x^2 + -86.9636x^3,0.902712023,2.84E-16,-29.46325665
Polynomial (SG),NIR,53,3,y = 1.4623 + -19.6581x^1 + 81.1134x^2 + -86.9636x^3,0.902712023,2.84E-16,-29.46325665
