Model_Type,Band,Window_Size,Degree,Equation,R_squared,P_value,AIC
Polynomial (MA),NIR,51,3,y = 0.6553 + -11.2335x^1 + 58.6685x^2 + -70.1282x^3,0.8354555654858072,3.768972659463096e-21,-21.641618221120254
Polynomial (MA),NIR,52,3,y = 0.6495 + -11.1950x^1 + 58.6903x^2 + -70.2749x^3,0.8336550136134611,5.051150766519747e-21,-21.010392000040767
Polynomial (MA),NIR,53,3,y = 0.6356 + -10.9995x^1 + 57.8338x^2 + -69.1956x^3,0.8331149439160598,5.511431004437251e-21,-20.82238932391091
Polynomial (MA),NIR,49,3,y = 0.6362 + -10.9705x^1 + 57.6907x^2 + -69.0586x^3,0.832963785222377,5.647325196313003e-21,-20.769878713791186
Polynomial (MA),NIR,57,3,y = 0.6830 + -11.6269x^1 + 60.2116x^2 + -71.8614x^3,0.8318418400064636,6.761761165703288e-21,-20.38160808376439
Polynomial (MA),NIR,50,3,y = 0.6643 + -11.3302x^1 + 59.0064x^2 + -70.4944x^3,0.8314342379804374,7.216827153895702e-21,-20.241190801171896
Polynomial (MA),NIR,55,3,y = 0.6568 + -11.2365x^1 + 58.6043x^2 + -69.9583x^3,0.8301710288135332,8.822166825032614e-21,-19.808167087667343
Polynomial (MA),NIR,54,3,y = 0.6640 + -11.3310x^1 + 58.9694x^2 + -70.3616x^3,0.829807998806956,9.343793252610853e-21,-19.68431738372267
Polynomial (MA),NIR,59,3,y = 0.8136 + -13.1637x^1 + 65.4781x^2 + -77.3710x^3,0.8289940320246998,1.062347240072814e-20,-19.407585590469594
Polynomial (MA),NIR,48,3,y = 0.6262 + -10.7915x^1 + 56.8852x^2 + -68.0349x^3,0.8287786128293082,1.0989414484945922e-20,-19.33456796172065
Polynomial (SG),NIR,99,3,y = 0.5246 + -9.2512x^1 + 50.6289x^2 + -60.5977x^3,0.8280544237097596,1.231072728328457e-20,-19.0897714879426
Polynomial (SG),NIR,98,3,y = 0.5246 + -9.2512x^1 + 50.6289x^2 + -60.5977x^3,0.8280544237097596,1.231072728328457e-20,-19.0897714879426
Polynomial (SG),NIR,97,3,y = 0.4890 + -8.8152x^1 + 49.0172x^2 + -58.8142x^3,0.8277125688283383,1.2986369754682472e-20,-18.974572833479883
Polynomial (SG),NIR,96,3,y = 0.4890 + -8.8152x^1 + 49.0172x^2 + -58.8142x^3,0.8277125688283383,1.2986369754682472e-20,-18.974572833479883
Polynomial (MA),NIR,58,3,y = 0.7618 + -12.4918x^1 + 62.9508x^2 + -74.5221x^3,0.82639398643618,1.5942554699497583e-20,-18.53236642353137
Polynomial (MA),NIR,56,3,y = 0.6654 + -11.3320x^1 + 58.9015x^2 + -70.2143x^3,0.8263726754483086,1.5995281397316163e-20,-18.52524707661148
Polynomial (SG),NIR,95,3,y = 0.4770 + -8.5744x^1 + 47.8274x^2 + -57.2671x^3,0.8251172568176931,1.9415819690606874e-20,-18.107384855289084
Polynomial (SG),NIR,94,3,y = 0.4770 + -8.5744x^1 + 47.8274x^2 + -57.2671x^3,0.8251172568176931,1.9415819690606874e-20,-18.107384855289084
Polynomial (MA),NIR,47,3,y = 0.6139 + -10.6243x^1 + 56.2938x^2 + -67.4348x^3,0.8242808350446864,2.2074639641153036e-20,-17.83064617393022
Polynomial (MA),NIR,61,3,y = 0.8838 + -13.9879x^1 + 68.3205x^2 + -80.3657x^3,0.8238264126262037,2.3662684933286142e-20,-17.68084760747213
