Model_Type,Band,Window_Size,Degree,Equation,R_squared,P_value,AIC
Polynomial (MA),NIR,21,3,y = 2.7329 + -45.9634x^1 + 219.2043x^2 + -290.7663x^3,0.822159745,2.57E-14,-18.5933912
Polynomial (MA),RED,21,3,y = 2.6231 + -45.8847x^1 + 218.5315x^2 + -287.3193x^3,0.819220283,3.51E-14,-17.90486197
Polynomial (MA),NIR,19,3,y = 3.9304 + -57.6801x^1 + 255.3606x^2 + -326.3447x^3,0.81571341,5.04E-14,-17.09792243
Polynomial (MA),RED,19,3,y = 3.6855 + -55.4237x^1 + 245.3556x^2 + -311.1108x^3,0.815060663,5.39E-14,-16.94942046
Polynomial (MA),NIR,23,3,y = 1.1981 + -30.1424x^1 + 166.8498x^2 + -235.2112x^3,0.813200734,6.52E-14,-16.52913767
Polynomial (MA),RED,22,3,y = -0.4077 + -15.4333x^1 + 120.4634x^2 + -185.5718x^3,0.813046833,6.62E-14,-16.4945488
Polynomial (MA),RED,23,3,y = 1.5090 + -35.1521x^1 + 185.2290x^2 + -254.1229x^3,0.813012661,6.64E-14,-16.48687249
Polynomial (MA),RED,20,3,y = 2.2735 + -42.1161x^1 + 206.1003x^2 + -274.4158x^3,0.811758776,7.53E-14,-16.20617231
Polynomial (MA),NIR,22,3,y = 0.1042 + -18.4494x^1 + 127.4131x^2 + -192.5705x^3,0.809926693,9.05E-14,-15.79937814
Polynomial (MA),NIR,20,3,y = 2.7860 + -46.3376x^1 + 220.3739x^2 + -292.1949x^3,0.80934166,9.59E-14,-15.67030351
Polynomial (MA),RED,22,2,y = -5.2608 + 35.2589x^1 + -50.3151x^2,0.805739921,1.33E-14,-16.88428005
Polynomial (MA),NIR,24,3,y = -0.8457 + -8.7974x^1 + 95.6840x^2 + -159.0878x^3,0.800698806,2.21E-13,-13.8082676
Polynomial (MA),RED,21,2,y = -4.8543 + 32.4359x^1 + -45.7488x^2,0.80034448,2.27E-14,-15.73366456
Polynomial (MA),RED,23,2,y = -5.1704 + 34.4581x^1 + -48.8813x^2,0.800253055,2.29E-14,-15.71443646
Polynomial (MA),NIR,22,2,y = -4.4637 + 31.0961x^1 + -45.0051x^2,0.799524141,2.46E-14,-15.56144963
Polynomial (MA),NIR,23,2,y = -4.4278 + 30.6599x^1 + -44.1405x^2,0.799010054,2.58E-14,-15.45388546
Polynomial (MA),RED,42,3,y = 23.5896 + -266.4624x^1 + 969.1850x^2 + -1122.2675x^3,0.79756934,2.97E-13,-13.15389967
Polynomial (MA),RED,24,3,y = -1.2641 + -6.9700x^1 + 93.2174x^2 + -157.3021x^3,0.797541911,2.98E-13,-13.14820897
Polynomial (MA),RED,41,3,y = 21.2936 + -240.5479x^1 + 873.5149x^2 + -1006.8953x^3,0.796761611,3.20E-13,-12.98664661
Polynomial (MA),NIR,21,2,y = -4.0895 + 28.4133x^1 + -40.5674x^2,0.796315649,3.35E-14,-14.89458795
