date,mean_red,mean_nir,days
20000224,,,54
20000225,,,55
20000226,0.5689838,0.548449744,56
20000227,0.568366291,0.55194228,57
20000228,0.592491678,0.567606643,58
20000229,0.569200518,0.537652193,59
20000301,0.538875487,0.515130537,60
20000302,0.461492214,0.443169696,61
20000303,0.537997241,0.513144499,62
20000304,0.62186247,0.596451726,63
20000305,0.521375165,0.509853416,64
20000306,0.59159809,0.567788891,65
20000307,0.490468703,0.481010483,66
20000308,0.530455951,0.517249287,67
20000309,,,68
20000310,0.534405036,0.510431245,69
20000311,0.574249003,0.55493108,70
20000312,,,71
20000313,0.554027159,0.53565109,72
20000314,0.490283052,0.472032968,73
20000315,0.597996843,0.566002606,74
20000316,0.504328373,0.48573816,75
20000317,0.597851153,0.592635151,76
20000318,0.60397516,0.589743289,77
20000319,0.545857938,0.532337109,78
20000320,0.597801336,0.575549014,79
20000321,0.403483784,0.386927137,80
20000322,0.588271465,0.566964703,81
20000323,0.478562517,0.456737363,82
20000324,0.585337132,0.568127194,83
20000325,0.550640773,0.532558622,84
20000326,0.46155326,0.438355378,85
20000327,0.543240726,0.510565764,86
20000328,,,87
20000329,0.557630138,0.526598412,88
20000330,0.493560755,0.458957591,89
20000331,0.452210281,0.41196717,90
20000401,0.418180026,0.386902768,91
20000402,0.365547099,0.337716427,92
20000403,0.379330273,0.343465607,93
20000404,0.354341094,0.339480275,94
20000405,0.385134889,0.365787221,95
20000406,0.361923643,0.359232964,96
20000407,0.297973899,0.289728796,97
20000408,0.343915719,0.333774898,98
20000409,0.286768323,0.281612344,99
20000410,0.25128086,0.235939797,100
20000411,0.480269028,0.473509457,101
20000412,0.383943353,0.367974006,102
20000413,,,103
20000414,0.289320541,0.26518346,104
20000415,0.37524095,0.359785366,105
20000416,0.498220964,0.480842427,106
20000417,0.384029534,0.360946602,107
20000418,0.370582503,0.354771971,108
20000419,0.333595102,0.307774484,109
20000420,0.305271158,0.293621448,110
20000421,0.439987248,0.419377617,111
20000422,0.405439598,0.385833415,112
20000423,0.388683168,0.378673528,113
20000424,0.532643718,0.510678034,114
20000425,0.428855731,0.411034301,115
20000426,,,116
20000427,,,117
20000428,,,118
20000429,,,119
20000430,0.328087408,0.299230098,120
20000501,0.316548616,0.294294317,121
20000502,0.451031466,0.43340919,122
20000503,0.417870797,0.393845876,123
20000504,0.275218297,0.248410784,124
20000505,0.240405557,0.194861539,125
20000506,0.31200023,0.30658376,126
20000507,0.526315759,0.518178724,127
20000508,0.30782261,0.293045735,128
20000509,0.226366337,0.166485394,129
20000510,0.434749011,0.417198418,130
20000511,0.199179413,0.152381464,131
20000512,0.203603715,0.148168102,132
20000513,0.210885909,0.176367624,133
20000514,0.22559501,0.165803942,134
20000515,,,135
20000516,0.388858689,0.394536201,136
20000517,0.208126031,0.195493563,137
20000518,0.178685927,0.117676992,138
20000519,0.289824633,0.283274116,139
20000520,0.458150477,0.453590105,140
20000521,0.279614965,0.260893695,141
20000522,0.580993318,0.563082319,142
20000523,0.232386261,0.185320955,143
20000524,0.457867808,0.442957177,144
20000525,0.218991693,0.199980796,145
20000526,0.420259434,0.410670953,146
20000527,0.202784155,0.154293229,147
20000528,0.426142982,0.425534454,148
20000529,,,149
20000530,0.481694457,0.480397008,150
20000531,,,151
20000601,0.260475845,0.243893388,152
20000602,0.333654983,0.323896515,153
20000603,0.27339089,0.268091485,154
20000604,0.396336756,0.392410447,155
20000605,0.285514085,0.270895304,156
20000606,0.480247555,0.472366613,157
20000607,0.56156592,0.543702679,158
20000608,0.460257456,0.45356664,159
20000609,0.475244153,0.457386215,160
20000610,0.252497471,0.216273181,161
20000611,0.292886231,0.279800386,162
20000612,0.276593186,0.263642047,163
20000613,0.223760384,0.211452028,164
20000614,0.286713714,0.271175107,165
20000615,,,166
20000616,,,167
20000617,0.374137863,0.377736536,168
20000618,0.465087009,0.457426233,169
20000619,0.317216458,0.314461101,170
20000620,0.21780526,0.201427429,171
20000621,0.447864329,0.446974236,172
20000622,0.5183557,0.512721194,173
20000623,0.496726328,0.486985884,174
20000624,0.227675827,0.207492613,175
20000625,0.46352794,0.454030898,176
20000626,0.323529764,0.325699936,177
20000627,0.416687414,0.412431444,178
20000628,0.215659535,0.200088894,179
20000629,0.34579188,0.348828924,180
20000630,0.357233961,0.353103761,181
20000701,0.267120912,0.235314042,182
20000702,,,183
20000703,0.397928716,0.399418156,184
20000704,0.314927352,0.309119088,185
20000705,0.222563069,0.176192855,186
20000706,0.322459844,0.322229209,187
20000707,0.387217423,0.389215385,188
20000708,0.310741118,0.2895284,189
20000709,0.346433774,0.345645848,190
20000710,0.341586197,0.335740536,191
20000711,0.400690847,0.395564356,192
20000712,0.234113386,0.196602014,193
20000713,0.286445442,0.293927239,194
20000714,0.360296018,0.362689881,195
20000715,0.457834963,0.45565273,196
20000716,0.380914891,0.387722573,197
20000717,0.268592159,0.274670493,198
20000718,,,199
20000719,0.273313245,0.262810793,200
20000720,0.486849769,0.474130537,201
20000721,0.391193514,0.397913221,202
20000722,0.293897021,0.298252368,203
20000723,0.398974665,0.402570165,204
20000724,0.293796217,0.27865391,205
20000725,0.382945192,0.396194847,206
20000726,0.251459844,0.191214634,207
20000727,0.412891534,0.398829629,208
20000728,0.345924624,0.353755449,209
20000729,0.388559927,0.385299528,210
20000730,0.329687031,0.332910355,211
20000731,0.490058241,0.484789382,212
20000801,0.444470113,0.44233648,213
20000802,0.4365141,0.431359991,214
20000803,,,215
20000804,0.255644024,0.226458128,216
20000805,0.22830736,0.208339975,217
20000818,,,230
20000819,,,231
20000820,0.343062456,0.340412577,232
20000821,0.391373525,0.383780508,233
20000822,0.261382292,0.25855234,234
20000823,0.331688839,0.33067693,235
20000824,0.379047865,0.378846151,236
20000825,0.423968488,0.417840128,237
20000826,0.363231922,0.373620881,238
