date,mean_red,mean_nir,days
20000224,,,54
20000225,,,55
20000226,0.594871195,0.572588655,56
20000227,0.583155113,0.562117808,57
20000228,0.552253296,0.527745222,58
20000229,0.551582081,0.523776449,59
20000301,0.501670351,0.476362744,60
20000302,0.555494452,0.526339933,61
20000303,0.471694748,0.454029173,62
20000304,0.515514115,0.488868481,63
20000305,0.546521714,0.531991655,64
20000306,0.531546729,0.512994596,65
20000307,0.529839398,0.515946647,66
20000308,0.47655252,0.458562073,67
20000309,,,68
20000310,0.422554852,0.402554559,69
20000311,0.411905617,0.394411335,70
20000312,0.386456773,0.373667604,71
20000313,0.532539054,0.517262093,72
20000314,0.601860667,0.575256757,73
20000315,0.585615422,0.555574283,74
20000316,0.602561955,0.564076339,75
20000317,0.532138853,0.50200749,76
20000318,0.592151937,0.552181507,77
20000319,0.468145357,0.452970255,78
20000320,0.591467037,0.574069344,79
20000321,0.567724488,0.555361739,80
20000322,0.57223798,0.55689697,81
20000323,0.658294255,0.63137682,82
20000324,0.641025772,0.614783736,83
20000325,0.629885157,0.596267091,84
20000326,0.543432152,0.516554817,85
20000327,0.626748625,0.583962262,86
20000328,0.593040581,0.561462318,87
20000329,0.614839501,0.573550566,88
20000330,0.606194213,0.555937264,89
20000331,0.571832983,0.515511264,90
20000401,0.584984391,0.511638662,91
20000402,0.530042762,0.481395274,92
20000403,0.546527293,0.478669346,93
20000404,0.492758367,0.452352616,94
20000405,0.517850673,0.458887049,95
20000406,0.465870105,0.422008859,96
20000407,0.495938052,0.445916836,97
20000408,0.447266747,0.398748404,98
20000409,0.338535793,0.313066786,99
20000410,0.456934361,0.417197526,100
20000411,0.476252829,0.465933339,101
20000412,0.441713255,0.404013574,102
20000413,0.397007594,0.376250667,103
20000414,0.44961242,0.414497237,104
20000415,0.532104903,0.518590034,105
20000416,0.49318566,0.474724059,106
20000417,0.58421948,0.542937984,107
20000418,0.491770988,0.472416593,108
20000419,0.526945221,0.485764654,109
20000420,0.409203992,0.386700209,110
20000421,0.414140269,0.375907321,111
20000422,0.413073965,0.395727145,112
20000423,0.424636203,0.409063189,113
20000424,0.543355952,0.485957736,114
20000425,0.412948728,0.392375535,115
20000426,,,116
20000427,,,117
20000428,,,118
20000429,0.313310732,0.28854621,119
20000430,0.426843046,0.414585531,120
20000501,0.422908534,0.415567652,121
20000502,0.297605911,0.281962208,122
20000503,0.297461517,0.26921869,123
20000504,0.277530356,0.255628746,124
20000505,0.350158384,0.33804853,125
20000506,0.397695447,0.385847794,126
20000507,0.512664102,0.49402797,127
20000508,0.441814614,0.430701611,128
20000509,0.428278281,0.411052735,129
20000510,0.440347494,0.425838968,130
20000511,0.39028658,0.369440631,131
20000512,0.357812433,0.322822883,132
20000513,0.503611216,0.48973516,133
20000514,0.242847572,0.214350591,134
20000515,0.252278566,0.232809927,135
20000516,0.344805721,0.333754152,136
20000517,0.245227568,0.224835357,137
20000518,0.258259686,0.244588226,138
20000519,0.212805902,0.19598026,139
20000520,0.365531885,0.356819097,140
20000521,0.474492842,0.47649147,141
20000522,0.264349189,0.251987308,142
20000523,0.280479693,0.261644604,143
20000524,0.230668704,0.219915033,144
20000525,0.179695508,0.167241194,145
20000526,0.162739845,0.150922773,146
20000527,0.139935607,0.133679055,147
20000528,0.246120701,0.24093471,148
20000529,,,149
20000530,0.189372897,0.18680971,150
20000531,0.374609357,0.369282965,151
20000601,0.190977515,0.189947511,152
20000602,0.199321653,0.196679923,153
20000603,0.334122905,0.333782641,154
20000604,0.423415199,0.41577333,155
20000605,0.410581712,0.407905952,156
20000606,0.503906041,0.498560633,157
20000607,0.506737274,0.487170887,158
20000608,0.56983272,0.542325556,159
20000609,0.526734678,0.499677662,160
20000610,0.514434925,0.46182312,161
20000611,0.338055704,0.293434661,162
20000612,0.330445573,0.279868901,163
20000613,0.390901313,0.366996557,164
20000614,0.248191669,0.21252716,165
20000615,,,166
20000616,0.311844089,0.283755101,167
20000617,0.312332457,0.29549389,168
20000618,0.293858305,0.281181346,169
20000619,0.26201929,0.249098607,170
20000620,0.218733484,0.210803961,171
20000621,0.282657523,0.272535562,172
20000622,0.348755243,0.344704263,173
20000623,0.231176669,0.226984354,174
20000624,0.153503438,0.14335102,175
20000625,0.124467888,0.114753879,176
20000626,0.433138932,0.432988062,177
20000627,0.200952263,0.19453407,178
20000628,0.273054085,0.269768921,179
20000629,0.3987042,0.398725755,180
20000630,0.344415399,0.337647219,181
20000701,0.271509919,0.272359167,182
20000702,0.43772159,0.43337554,183
20000703,0.25518625,0.256222881,184
20000704,0.351281789,0.350467969,185
20000705,0.189851886,0.182025044,186
20000706,0.297435746,0.28986269,187
20000707,0.497841285,0.488363551,188
20000708,0.272024642,0.273312931,189
20000709,0.427185882,0.421075376,190
20000710,0.540630332,0.540713934,191
20000711,0.452191008,0.444987403,192
20000712,0.392748484,0.396718546,193
20000713,0.114438116,0.099465599,194
20000714,0.351520095,0.3473314,195
20000715,0.526217798,0.516999281,196
20000716,0.344494483,0.337343185,197
20000717,0.311663489,0.319060381,198
20000718,0.452679914,0.444634518,199
20000719,0.371028527,0.374995611,200
20000720,0.31572681,0.313726985,201
20000721,0.47349178,0.472558024,202
20000722,0.586127587,0.574638559,203
20000723,0.299583511,0.298026563,204
20000724,0.385739639,0.381405818,205
20000725,0.345407621,0.341021235,206
20000726,0.113787965,0.095782419,207
20000727,0.487513827,0.479518023,208
20000728,0.36449414,0.36158588,209
20000729,0.499858584,0.494078199,210
20000730,0.468664645,0.470257397,211
20000731,0.411343355,0.406843343,212
20000801,0.342875349,0.339263391,213
20000802,0.451989003,0.45884315,214
20000803,0.233185193,0.230593715,215
20000804,0.150506233,0.145644116,216
20000805,0.225438625,0.222597727,217
20000818,,,230
20000819,0.168597486,0.162111294,231
20000820,0.292023354,0.285252701,232
