date,mean_red,mean_nir
20000224,,
20000225,,
20000226,0.311635109,0.297697023
20000227,0.233895467,0.23027776
20000228,0.308319432,0.30744066
20000229,0.237253001,0.216646406
20000301,0.299143538,0.297103553
20000302,0.271571932,0.256883985
20000303,0.24146593,0.248185319
20000304,0.259055123,0.239792904
20000305,0.185654198,0.176444207
20000306,0.241566883,0.212348261
20000307,0.191369527,0.163887185
20000308,0.189175818,0.188969516
20000309,,
20000310,0.124850078,0.170052796
20000311,0.288882494,0.269610198
20000312,0.209631735,0.207213854
20000313,0.441115253,0.435101594
20000314,0.433194286,0.423659988
20000315,0.46187591,0.452463841
20000316,0.40564917,0.398902367
20000317,0.262386962,0.269319835
20000318,0.52127536,0.510545286
20000319,0.339859335,0.338206954
20000320,0.415460249,0.404680938
20000321,0.355204005,0.353044719
20000322,0.445529183,0.440818512
20000323,0.321434979,0.3206918
20000324,0.494678598,0.488163411
20000325,0.564299944,0.545356515
20000326,0.442160266,0.425348969
20000327,0.452388279,0.445468118
20000328,0.480589432,0.468469783
20000329,0.483832247,0.463519835
20000330,0.322312782,0.312371181
20000331,0.313094499,0.29768601
20000401,0.212414551,0.184449747
20000402,0.225094161,0.226329401
20000403,0.211320009,0.182168504
20000404,0.245084453,0.245727692
20000405,0.186499037,0.141774805
20000406,0.166714883,0.150805768
20000407,0.191848539,0.155194874
20000408,0.18009821,0.156029918
20000409,0.156234313,0.166137311
20000410,0.444878054,0.439981629
20000411,0.289862937,0.292141786
20000412,0.318362214,0.307618316
20000413,0.179521968,0.173978027
20000414,0.199042238,0.173833509
20000415,0.409568178,0.40226198
20000416,0.300057289,0.289173412
20000417,0.352725135,0.345483702
20000418,0.188881983,0.204086467
20000419,0.212345649,0.179671252
20000420,0.179597813,0.196735254
20000421,0.220588442,0.181171323
20000422,0.207896055,0.190574871
20000423,0.235986353,0.188277543
20000424,0.488369734,0.469814126
20000425,0.302996615,0.277656995
20000426,,
20000427,,
20000428,,
20000429,0.167489536,0.149395864
20000430,0.173691636,0.126695435
20000501,0.239240997,0.224731469
20000502,0.350455907,0.333836937
20000503,0.160567884,0.118760527
20000504,0.126978876,0.143586167
20000505,0.193109876,0.145372466
20000506,0.354094303,0.341377613
20000507,,
20000508,0.217495152,0.201997257
20000509,0.210198193,0.173937498
20000510,0.208033792,0.187202492
20000511,0.126323829,0.131454829
20000512,0.146793372,0.117564129
20000513,0.137157116,0.157252602
20000514,0.239149709,0.194548893
20000515,0.19937572,0.192113228
20000516,0.423573249,0.427030277
20000517,0.170370039,0.139591696
20000518,0.34916944,0.344848191
20000519,0.170278751,0.124542319
20000520,0.365837982,0.357791391
20000521,0.36937979,0.370147075
20000522,0.50574898,0.487862361
20000523,0.20389057,0.154553017
20000524,0.396801273,0.387930435
20000525,0.175171312,0.148469391
20000526,0.540033192,0.529273945
20000527,0.134601958,0.146170273
20000528,0.523605915,0.5180172
20000529,,
20000530,0.317220417,0.312615204
20000531,0.211640094,0.203151635
20000601,0.176078424,0.120493715
20000602,0.212134549,0.197147358
20000603,0.181032258,0.169129662
20000604,0.460862496,0.458864847
20000605,0.31219261,0.318369712
20000606,0.410124765,0.411248952
20000607,0.498345813,0.478902236
20000608,0.332685008,0.329804593
20000609,0.456349274,0.448847973
20000610,0.440335027,0.43417289
20000611,0.24979039,0.242050563
20000612,0.356315786,0.3508589
20000613,0.166496947,0.128592697
20000614,0.29356204,0.294880884
20000615,,
20000616,0.206119214,0.204408783
20000617,0.234789226,0.211204789
20000618,0.360065702,0.360185025
20000619,0.387524656,0.385680644
20000620,0.46692643,0.463565337
20000621,0.157929597,0.164075214
20000622,0.48259064,0.480690254
20000623,0.466880579,0.455148621
20000624,0.193671753,0.15102329
20000625,0.334465963,0.332960527
20000626,0.481462711,0.485783996
20000627,0.445378506,0.442196071
20000628,0.377474811,0.375403026
20000629,0.493272906,0.496803472
20000630,0.443619405,0.431934298
20000701,0.438434326,0.437616836
20000702,0.442018338,0.436935343
20000703,0.479222365,0.473916972
20000704,0.422714371,0.413742602
20000705,0.16799593,0.152097491
20000706,0.458241693,0.455308048
20000707,0.398905806,0.388065506
20000708,0.370149339,0.356698427
20000709,0.43969267,0.425370703
20000710,0.475971769,0.477990477
20000711,0.389411177,0.386867334
20000712,0.172527823,0.143463841
20000713,0.257646275,0.256612211
20000714,0.16958644,0.181835349
20000715,0.422772803,0.424446449
20000716,0.453098471,0.447147271
20000717,0.253900648,0.21829599
20000718,0.476605485,0.471330642
20000719,0.187543549,0.151515982
20000720,0.44417597,0.43752779
20000721,0.29877424,0.290405561
20000722,0.17584695,0.143973217
20000723,0.207038037,0.232815302
20000724,0.283503749,0.281701866
20000725,0.477336268,0.467520531
20000726,0.173205975,0.150101475
20000727,0.43360099,0.429554389
20000728,0.329263275,0.334852566
20000729,0.353112684,0.355830506
20000730,0.354803428,0.347892387
20000731,0.473451107,0.466009664
20000801,0.507171823,0.500033858
20000802,0.273757926,0.267255885
20000803,0.152888099,0.152965228
20000804,0.167544539,0.133243043
20000805,0.15209587,0.130620167
20000818,,
20000819,0.211364521,0.216982065
20000820,0.355043413,0.351528802
20000821,0.434954574,0.425184589
20000822,0.320027175,0.318502139
20000823,0.25415552,0.24950918
20000824,0.438784209,0.434396887
20000825,0.361039212,0.34325742
20000826,0.282659531,0.281815661
20000827,0.419327137,0.421164934
20000828,0.38359174,0.381665832
20000829,0.255564815,0.247217457
20000830,0.525375828,0.514349263
20000831,0.455517974,0.454919475
20000901,0.290210622,0.292728759
20000902,0.424195777,0.41765089
20000903,0.190777102,0.154551015
20000904,0.295080641,0.285292517
20000905,0.259560646,0.250953115
20000906,0.389540502,0.385563639
20000907,0.17850129,0.15949612
20000908,0.449507776,0.447515666
20000909,0.521877271,0.516188224
20000910,0.447425434,0.448498699
20000911,0.131758709,0.166211427
20000912,0.158776024,0.117692072
20000913,0.135751744,0.12803155
20000914,0.414915122,0.421231398
20000915,0.496120477,0.492788442
20000916,0.41900419,0.4110711
20000917,0.242032911,0.225217097
20000918,,
20000919,0.189256701,0.170409555
20000920,0.375377047,0.368093835
20000921,0.275330478,0.263132622
20000922,0.191541198,0.186852903
20000923,0.14645225,0.130473037
20000924,0.152294553,0.120558198
20000925,0.117746792,0.141556217
20000926,0.159625271,0.121749665
20000927,0.098520087,0.141070104
20000928,0.167701954,0.127743571
20000929,0.35329292,0.35446075
20000930,0.17342736,0.130470501
20001001,0.149045894,0.124538597
20001002,0.34084609,0.348280677
20001003,0.166699537,0.123200468
20001004,0.108820678,0.141391391
20001005,0.161954095,0.121132568
20001006,0.150462263,0.147720803
20001007,0.167619078,0.123183425
20001008,0.225565914,0.222809055
20001009,0.161097219,0.139633226
20001010,0.159618023,0.12325644
20001011,0.108993307,0.128605267
20001012,0.16122539,0.122312608
20001013,0.137483292,0.156139982
20001014,0.162135974,0.119692648
20001015,0.163503162,0.14921331
20001016,0.161433411,0.129096316
20001017,0.158972803,0.128269761
20001018,0.132953942,0.134528225
20001019,0.160392937,0.121293791
20001020,0.116454579,0.133962573
20001021,0.147795478,0.11129595
20001022,0.192119584,0.186798792
20001023,0.166305991,0.116474212
20001024,0.157010633,0.134705033
20001025,0.150716341,0.124941002
20001026,0.168671437,0.132788018
20001027,,
20001028,0.160820634,0.118998618
20001029,0.128312369,0.140985569
20001030,0.157836763,0.11806235
20001031,0.149317462,0.139195864
20001101,0.153717168,0.115923622
20001102,0.160003221,0.132502334
20001103,0.121715079,0.126679632
20001104,0.156831485,0.12023783
20001105,0.106712684,0.123674593
20001106,0.160174218,0.117009175
20001107,0.147054372,0.144177113
20001108,0.161090548,0.120512641
20001109,0.156116831,0.132164608
20001110,0.139804244,0.122335539
20001111,0.162767253,0.127158078
20001112,0.121767949,0.127252185
20001113,0.158779823,0.112342102
20001114,0.113505316,0.12428367
20001115,0.156220537,0.11492003
20001116,0.153406171,0.139112967
20001117,0.156568939,0.11682218
20001118,0.114731262,0.09669797
20001119,0.139598574,0.128108636
20001120,0.160561463,0.121143799
20001121,0.111997345,0.127323143
20001122,0.157980443,0.115900234
20001123,0.149187833,0.144545562
20001124,0.160135354,0.117992327
20001125,0.159755085,0.136817848
20001126,0.145743451,0.119885672
20001127,0.162179812,0.123928149
20001128,0.374240279,0.371987648
20001129,0.159225673,0.120653915
20001130,0.11549895,0.123833292
20001201,0.159735713,0.113888469
20001202,0.158249203,0.145942004
20001203,0.15438879,0.109799946
20001204,0.159844186,0.123995103
20001205,0.125731512,0.124952343
20001206,0.162585297,0.116344224
20001207,0.099155314,0.113480971
20001208,0.156341013,0.115965631
20001209,0.148954345,0.141959689
20001210,0.1614902,0.115806236
20001211,0.161334755,0.135407313
20001212,0.142281025,0.115717778
20001213,0.158045405,0.114517767
20001214,0.122349295,0.123023529
20001215,0.156199804,0.114272003
20001216,0.164203276,0.172069282
20001217,0.157456266,0.110505469
20001218,0.155047157,0.141190891
20001219,0.159866072,0.104684192
20001220,0.166181869,0.126576286
20001221,0.145927888,0.118807107
20001222,0.167708375,0.12171128
20001223,0.109111901,0.123373978
20001224,0.16604017,0.11544991
20001225,0.151695086,0.140482484
20001226,0.164043837,0.114874626
20001227,0.165704359,0.134722338
20001228,0.158676792,0.119853447
20001229,0.17035687,0.130393448
20001230,0.114019396,0.124207361
